Frequency (kHz),dB (ref 1V/(m/s)),dB (ref 1V/1Bar)
0,72.5,-99
2,71.5,-98.5
4,71,-98
6,70.5,-100
8,70.5,-101
10,71,-100
12,72.25,-99.5
14,73.5,-101
16,74.75,-100
18,76,-93.5
20,77,-87
22,78,-80.5
24,79,-77
26,80,-74.5
28,80.75,-73
30,80,-73
32,78.75,-73
34,77.5,-74
36,76.25,-74.5
38,75,-73.5
40,74,-73
42,74.25,-72.5
44,73,-73
46,72,-73.5
48,71,-74.5
50,69.75,-75
52,69,-75
54,68.25,-74.5
56,67.5,-74
58,66.75,-73
60,66,-72.5
62,65.475,-72
64,64.75,-71.5
66,64.25,-71
68,63.5,-71
70,63,-70.5
72,62.8,-70
74,62.6,-70
76,62.4,-70
78,62.2,-70
80,62,-70
82,61.8,-69.5
84,61.6,-68.5
86,61.4,-67
88,61.2,-66.5
90,60.5,-66
92,60,-66.5
94,59.8,-67.5
96,59.8,-68.5
98,59.8,-69
100,60,-67.5
